uuid,organization_email,event_name,contact_email,logo,portrait_image,featured_image,category,event_section,is_featured,is_private,created_at,updated_at,has_seats,seatmap_config,date_type,start_date,end_date,excluded_dates,available_days,slug,has_open_tickets,event_videos,featured_order,special_event,created_by,status,approved_by,approved_at,rejection_reason,published_at,cancelled_at,completed_at,view_count,registration_count,total_revenue,is_priority_featured,featured_from,featured_until,meta_title,meta_description,tags,admin_notes,venue,track_event_meta,meta_pixel_id
0197aba3-38c1-73b6-a9be-efcda5da4ac9,jcibaliwagbuntal2025@gmail.com,JCI Aseana 2nd Induction and Turnover Ceremony,--,,https://ticketoc.sgp1.cdn.digitaloceanspaces.com/events/jci-2nd-induction.jpg,https://ticketoc.sgp1.cdn.digitaloceanspaces.com/events/jci-aseana-1.jpg,Induction,featured,FALSE,FALSE,6/26/2025 9:48,9/29/2025 9:01,FALSE,,single,7/6/2025,7/6/2025,,,jci-aseana-2nd-induction-and-turnover-ceremony,FALSE,,11,FALSE,,published,,,,7/7/2025 1:50,,,0,0,0,FALSE,,,,,,,,FALSE,
0197aba3-38e5-7305-9b90-8741045f9fcb,jcibaliwagbuntal2025@gmail.com,GRAND GMM,--,,https://ticketoc.sgp1.cdn.digitaloceanspaces.com/events/grand-ggm-banner.jpg,https://ticketoc.sgp1.cdn.digitaloceanspaces.com/events/grand-ggm-banner.jpg,Business,featured,FALSE,FALSE,6/26/2025 9:48,10/23/2025 9:04,FALSE,,single,6/18/2025,6/18/2025,,,grand-gmm,FALSE,,10,FALSE,,approved,,,,,,,0,0,0,FALSE,,,,,,,,FALSE,
0197aba3-38f6-70b7-ab40-96d87a5ad65c,jcibaliwagbuntal2025@gmail.com,NEGO NATION,--,,https://ticketoc.sgp1.cdn.digitaloceanspaces.com/events/slide%201.jpg,https://ticketoc.sgp1.cdn.digitaloceanspaces.com/events/slide%201.jpg,Business,featured,TRUE,FALSE,6/26/2025 9:48,10/24/2025 13:23,FALSE,,custom,8/9/2025,8/10/2025,,,nego-nation,FALSE,,8,FALSE,,published,,,,7/7/2025 1:50,,,0,0,0,FALSE,,,,,,,,FALSE,
0197aba3-390c-73b8-9c3a-02861ef90b87,jcibaliwagbuntal2025@gmail.com,Feel the Baliwag Magic,--,,https://ticketoc.sgp1.cdn.digitaloceanspaces.com/events/baliwag-magic-new-feat.jpg,https://ticketoc.sgp1.cdn.digitaloceanspaces.com/events/baliwag-magic-new-feat.jpg,Conference,featured,TRUE,FALSE,6/26/2025 9:48,10/24/2025 13:23,FALSE,,custom,9/5/2025,9/5/2025,,,feel-the-baliwag-magic,FALSE,"[""https:\/\/ticketoc.sgp1.cdn.digitaloceanspaces.com\/events\/FEEL%20THE%20BALIWAG%20MAGIC%20Teaser.mp4""]",6,TRUE,3,published,,,,7/15/2025 9:44,,,0,0,0,FALSE,,,,,,,,FALSE,
0197aba3-3937-738a-acab-b22d1fad3d20,,President’s Midyear Academy: Pre-Game Night,--,,https://ticketoc.sgp1.cdn.digitaloceanspaces.com/events/pre-game-night.jpg,https://ticketoc.sgp1.cdn.digitaloceanspaces.com/events/pre-game-night.jpg,Socials,featured,FALSE,FALSE,6/26/2025 9:48,9/29/2025 9:02,FALSE,,single,6/25/2025,6/25/2025,,,presidents-midyear-academy-pre-game-night,FALSE,,12,FALSE,,published,,,,7/7/2025 1:50,,,0,0,0,FALSE,,,,,,,,FALSE,
0198094a-b4f7-701c-87f4-fb927cb99372,,Test event,tester@test.com,,,https://ticketoc.sgp1.digitaloceanspaces.com/public/events/featured/1752507861_687525d5c6d30.jpg,concert,featured,FALSE,FALSE,7/14/2025 14:15,7/14/2025 15:44,TRUE,,custom,7/30/2025,8/2/2025,,,test-event,FALSE,,0,FALSE,2,approved,2,7/14/2025 14:15,,,,,0,0,0,FALSE,,,,,,,,FALSE,
01981362-2a91-7203-b576-93ec37f54a88,airsupplyticketoc@gmail.com,Air Supply 50th Anniversary Celebration,inquire@ticketoc.com,,https://ticketoc.sgp1.cdn.digitaloceanspaces.com/events/Air%20Supply%202025%20Desktop%20Banner.png,https://ticketoc.sgp1.cdn.digitaloceanspaces.com/events/Air%20Supply%202025%20Desktop%20Banner.png,Concert,featured,TRUE,FALSE,7/16/2025 13:17,10/24/2025 13:23,TRUE,seatmaps.solaire_grand_ballroom,custom,9/18/2025,9/19/2025,,,air-supply-50th-anniversary,FALSE,,5,FALSE,4,published,,,,,,,0,0,0,FALSE,,,,,,,,FALSE,
0198e708-3b94-7377-bd63-1a549bf62ea7,alexander@electricsheepentertainment.com,Shrek The Musical 1,inquire@ticketoc.com,,/storage/events/portrait/1756222733_68add50d2be88.png,https://ticketoc.sgp1.digitaloceanspaces.com/public/events/featured/1756227361_68ade7219302b.png,other,featured,FALSE,FALSE,8/26/2025 15:38,8/26/2025 16:57,TRUE,,single,12/6/2025,12/6/2025,,,shrek-the-musical,FALSE,,0,FALSE,2,approved,2,8/26/2025 15:38,,,,,0,0,0,FALSE,,,,,,,newport-musical,FALSE,
0198ea42-dcf9-7368-86e1-1e6ae49f3955,sample222@gmail.com,2nd WSAP Induction of Members and Officers,inquire@ticketoc.com,,https://ticketoc.sgp1.digitaloceanspaces.com/public/events/portrait/1756276907_68aea8ab2dc73.jpg,https://ticketoc.sgp1.digitaloceanspaces.com/public/events/featured/1756276906_68aea8aaddef5.jpg,other,featured,FALSE,FALSE,8/27/2025 6:41,10/23/2025 9:03,FALSE,,single,10/21/2025,,,,2nd-wsap-induction-of-members-and-officers,TRUE,,3,FALSE,2,approved,2,8/27/2025 6:41,,,,,0,0,0,FALSE,,,,,,,,FALSE,
0198ea48-5efe-714c-bd7c-91b6ed7fb69a,alexander@electricsheepentertainment.com,Shrek The Musical 2,inquire@ticketoc.com,,https://ticketoc.sgp1.digitaloceanspaces.com/public/events/portrait/1757307760_68be6370dfd37.jpg,https://ticketoc.sgp1.digitaloceanspaces.com/public/events/featured/1757307760_68be6370d6a9e.jpg,concert,featured,FALSE,FALSE,8/27/2025 6:47,9/8/2025 7:22,TRUE,,single,12/6/2025,12/6/2025,,,shrek-the-musical-1,FALSE,,1,FALSE,2,approved,2,8/27/2025 6:47,,,,,0,0,0,FALSE,,,,,,,newport-musical,FALSE,
