id,purchase_uuid,ticket_type_id,quantity,unit_price,total_price,seat_number,selected_date,selected_time,created_at,updated_at
2,0197b0c5-f233-70d1-b8d3-c49323fc4f6f,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-06-27 09:44:12,2025-06-27 09:44:12
3,0197b0ff-ced4-733e-87f6-ec2bdffcb114,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-06-27 10:47:24,2025-06-27 10:47:24
4,0197c005-b289-711b-9ff9-50b8f76de4d4,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-06-30 08:48:08,2025-06-30 08:48:08
5,0197c01a-0809-7178-88c9-1ace40dacd85,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-06-30 09:10:20,2025-06-30 09:10:20
6,0197c053-36b0-7297-80bb-14f7445fdf22,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-06-30 10:12:48,2025-06-30 10:12:48
10,0197c136-3de1-723a-bf00-1db29cd54f2c,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-06-30 14:20:46,2025-06-30 14:20:46
11,0197c322-2389-729e-853e-ebc793c49fe9,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-06-30 23:18:03,2025-06-30 23:18:03
12,0197c388-398e-72cb-9856-20c825a55899,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-01 01:09:34,2025-07-01 01:09:34
13,0197c3d0-1083-7373-8c6c-686c94a3c36f,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-01 02:28:02,2025-07-01 02:28:02
14,0197c511-5d8a-7134-9620-fd8cf9db0782,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-01 08:18:59,2025-07-01 08:18:59
15,0197c636-85c3-7384-9e21-4a943d17fa1c,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-01 13:39:11,2025-07-01 13:39:11
16,0197c639-65b5-7019-9147-69c3ec6d54c4,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-01 13:42:19,2025-07-01 13:42:19
17,0197c63c-e22a-707f-bf1b-43bd9d7d72ee,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-01 13:46:08,2025-07-01 13:46:08
18,0197c8c6-dc46-73be-9f9b-adb4309f5f6d,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-02 01:36:05,2025-07-02 01:36:05
19,0197c985-02ad-7050-8c93-38b1a88535ab,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-02 05:03:46,2025-07-02 05:03:46
20,0197c985-6627-73ab-8932-426d5129cd07,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-02 05:04:12,2025-07-02 05:04:12
21,0197c986-368f-7150-86e6-c6dae3c00973,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-02 05:05:05,2025-07-02 05:05:05
22,0197c9be-2c5b-73cb-a1c7-1ac7fd1dc9e4,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-02 06:06:13,2025-07-02 06:06:13
23,0197ca53-c224-73f7-9777-9f9f089875a0,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-02 08:49:36,2025-07-02 08:49:36
24,0197ca87-2cbb-70c6-8ed6-74175aa2d43a,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-02 09:45:45,2025-07-02 09:45:45
25,0197ca8b-5368-713c-b2e7-3d943d7f592f,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-02 09:50:17,2025-07-02 09:50:17
26,0197caa1-2600-7317-85cb-054a0a184938,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-02 10:14:08,2025-07-02 10:14:08
27,0197caac-9b47-70a5-af17-633e5c564043,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-02 10:26:39,2025-07-02 10:26:39
28,0197cab9-5302-7273-8b9a-05485b58cb83,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-02 10:40:32,2025-07-02 10:40:32
29,0197cab9-66bd-71f4-9eb4-652f8f1b8a22,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-02 10:40:37,2025-07-02 10:40:37
30,0197cb15-476e-7181-9ef4-2650474dc6b6,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-02 12:20:58,2025-07-02 12:20:58
31,0197ccec-bc32-701f-b64e-245d88ce854e,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-02 20:55:56,2025-07-02 20:55:56
32,0197cd5c-81db-7150-9fd2-0198c93dbd29,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-02 22:58:01,2025-07-02 22:58:01
33,0197cfe1-f240-7093-9ef1-115e7095d3c0,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-03 10:43:00,2025-07-03 10:43:00
34,0197d05a-554e-71e4-932f-647ecb4c1bc2,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-03 12:54:30,2025-07-03 12:54:30
35,0197d0ae-e748-71b5-9085-d6cac84b0dc8,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-03 14:26:52,2025-07-03 14:26:52
40,0197d406-1b2e-72ac-aff0-dc4496672193,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-04 06:00:59,2025-07-04 06:00:59
41,0197d41d-d7e0-714f-9474-b8e3e149b203,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-04 06:26:55,2025-07-04 06:26:55
42,0197d421-8f3d-722a-97a5-c66c01b61f96,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-04 06:30:58,2025-07-04 06:30:58
43,0197d4d5-e412-71ab-a89b-a4f25aeb27d3,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-04 09:47:56,2025-07-04 09:47:56
44,0197d6f4-fffc-714b-883b-95ff9d552f45,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-04 19:41:10,2025-07-04 19:41:10
45,0197d8cf-4351-70d9-b1b8-94e2bfbe6af1,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-05 04:19:11,2025-07-05 04:19:11
46,0197d9ad-eb0f-7222-bd37-fbfd1f4f7215,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-05 08:22:23,2025-07-05 08:22:23
47,0197dabe-2b38-7231-b372-7d39d1616a66,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-05 13:19:45,2025-07-05 13:19:45
48,0197dae2-769e-7325-b126-b05a1ae11680,0197aba3-3916-735d-bb49-7fa068718041,1,3499.00,3499.00,,,,2025-07-05 13:59:24,2025-07-05 13:59:24
49,0197daeb-fb40-7375-b334-797599a01a03,0197aba3-38cf-707a-9139-acaef04d3a54,1,0.00,0.00,,,,2025-07-05 14:09:47,2025-07-05 14:09:47
