uuid,user_id,event_id,created_at,updated_at,total_amount,paypal_order_id,status,order_number,subtotal,tax_amount,discount_amount,payment_status,order_status,original_order_number
019a6e48-5c48-70f2-a53c-db2f72508179,622,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-10 15:00:27,2025-11-10 15:00:27,7995.00,8XX83891CY9097214,,TKT-251110-WNUODIP9,7995.00,0.00,0.00,paid,confirmed,
019a6d80-104a-71f2-8137-92e6da0686a0,618,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-10 11:21:40,2025-11-10 11:21:40,7995.00,cs_WQBvo1sMN6yZbB55bYBJeKys,,TKT-251110-DTI604AK,7995.00,0.00,0.00,paid,confirmed,
019a6d35-7f64-703c-a6af-1504ac94dd78,620,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-10 10:00:13,2025-11-10 10:00:13,2995.00,3H899597A6143552V,,TKT-251110-U0HQMKPD,2995.00,0.00,0.00,paid,confirmed,
019a6cbb-e74e-717e-8b13-d1769fc8c87b,619,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-10 07:47:25,2025-11-10 07:47:25,27995.00,1NJ85396EV5177348,,TKT-251110-3ZAO7SXJ,27995.00,0.00,0.00,paid,confirmed,
019a6c5f-2197-7280-a045-cea9e24a85ee,616,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-10 06:06:05,2025-11-10 06:06:05,4790.00,0JB26458KB238791E,,TKT-251110-CN9J5MIK,4790.00,0.00,0.00,paid,confirmed,
019a6b95-390e-71c6-a5fe-ea60af83bee4,613,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-10 02:25:32,2025-11-10 02:25:32,2395.00,59L44620DG4748721,,TKT-251110-KHVLT6NS,2395.00,0.00,0.00,paid,confirmed,
019a6824-aba2-708f-999a-feb4a27bb93c,609,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-09 10:23:45,2025-11-09 10:23:45,2395.00,cs_hVnZMa4xg4Gcn3WvrkSSJDNK,,TKT-251109-A38JKOTY,2395.00,0.00,0.00,paid,confirmed,
019a6158-8dd0-71e9-9009-b54a3fbdbbc9,603,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-08 02:43:04,2025-11-08 02:43:04,2395.00,1D401806JA125023N,,TKT-251108-LB5E6W4V,2395.00,0.00,0.00,paid,confirmed,
019a6076-c5f8-7176-8552-e5d604e06638,601,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-07 22:36:28,2025-11-07 22:36:28,2995.00,cs_GAuiqRB3iDfKgAHpkndzWMnu,,TKT-251107-7HSKUDZA,2995.00,0.00,0.00,paid,confirmed,
019a5bbf-48f5-7137-9139-c6bb1703d3fe,596,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-07 00:37:34,2025-11-07 00:37:34,2395.00,cs_CnxeL28bQNFpditiEojnJc97,,TKT-251107-5P8NDL9X,2395.00,0.00,0.00,paid,confirmed,
019a59dc-c133-7289-9536-68683ca2ec38,594,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-06 15:50:30,2025-11-06 15:50:30,18395.00,4ST00756LJ2784447,,TKT-251106-ATFIN329,18395.00,0.00,0.00,paid,confirmed,
019a59dc-4290-701c-9a07-e42b2654c101,595,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-06 15:49:58,2025-11-06 15:49:58,2395.00,cs_68j6T6gQFJRGmgEiU1o3PVZ9,,TKT-251106-M935CIWV,2395.00,0.00,0.00,paid,confirmed,
019a59dc-3436-71fc-9f1b-516028c25638,595,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-06 15:49:54,2025-11-06 15:49:54,2395.00,cs_68j6T6gQFJRGmgEiU1o3PVZ9,,TKT-251106-QXERIHKO,2395.00,0.00,0.00,paid,confirmed,
019a59db-cea1-72a4-b5f5-66ad76d786a2,595,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-06 15:49:28,2025-11-06 15:49:28,2395.00,cs_68j6T6gQFJRGmgEiU1o3PVZ9,,TKT-251106-DMEO2F39,2395.00,0.00,0.00,paid,confirmed,
019a5830-94f2-717f-88aa-11e684299228,592,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-06 08:02:50,2025-11-06 08:02:50,23990.00,cs_vT1AsKVMVhxqxJDBSpsz6Zde,,TKT-251106-9FOW83VB,23990.00,0.00,0.00,paid,confirmed,
019a5495-7000-7350-925a-5c675821cabb,234,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-05 15:14:31,2025-11-05 15:14:31,1995.00,,,TKT-251105-7NLV4GF5,1995.00,0.00,0.00,paid,confirmed,
019a5490-2df5-73b6-a372-8e7db9ceab5b,486,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-05 15:08:46,2025-11-05 15:08:46,4995.00,,,TKT-251105-FVS0T8DX,4995.00,0.00,0.00,paid,confirmed,
019a548f-2b0d-723c-85fa-845d8f48f427,520,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-05 15:07:40,2025-11-05 15:07:40,4995.00,,,TKT-251105-3XWZCLNB,4995.00,0.00,0.00,paid,confirmed,
019a548e-2204-722c-8cc4-317696457446,234,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-05 15:06:32,2025-11-05 15:06:32,2995.00,,,TKT-251105-E863RIYW,2995.00,0.00,0.00,paid,confirmed,
019a548d-15ae-71f9-9d1c-719cd425a3fe,245,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-05 15:05:23,2025-11-05 15:05:23,4995.00,,,TKT-251105-1LVM3XER,4995.00,0.00,0.00,paid,confirmed,
019a548c-24a2-71ad-baa7-65254a42215a,309,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-05 15:04:21,2025-11-05 15:04:21,4995.00,,,TKT-251105-X15PQEDJ,4995.00,0.00,0.00,paid,confirmed,
019a548b-5ac2-73cd-a4f4-da2f1ca301aa,309,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-05 15:03:30,2025-11-05 15:03:30,2995.00,,,TKT-251105-10ZHGVU6,2995.00,0.00,0.00,paid,confirmed,
019a540f-f965-7110-8d1c-4498b2b1c5a5,564,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-05 12:48:44,2025-11-05 12:48:44,2395.00,3T7426919F9410346,,TKT-251105-Q408MZO7,2395.00,0.00,0.00,paid,confirmed,
019a5405-dbfc-7007-b08f-87daff07834d,591,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-05 12:37:41,2025-11-05 12:37:41,2395.00,cs_7mZmEi8eiFo6gLDPJUem8d9y,,TKT-251105-CA3G571W,2395.00,0.00,0.00,paid,confirmed,
019a5404-6d6d-73fd-bf33-5ce04c15a22c,590,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-05 12:36:07,2025-11-05 12:36:07,2395.00,8UN610116L900953J,,TKT-251105-XJHL42QW,2395.00,0.00,0.00,paid,confirmed,
019a5390-d946-7372-bc88-8480d0970fad,588,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-05 10:29:53,2025-11-05 10:29:53,2995.00,cs_oTcGKyPZuWTGBUe3F6LLNFD5,,TKT-251105-QTDVZS61,2995.00,0.00,0.00,paid,confirmed,
019a4799-0a11-7126-847b-51e9a5556f54,505,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-03 02:43:23,2025-11-03 02:43:23,0.00,,,TPT-251103-85OCB3L6-01-JM,0.00,0.00,0.00,paid,confirmed,TKT-251030-85OCB3L6
019a4798-3df6-7020-9928-0d46b93a2960,501,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-03 02:42:31,2025-11-03 02:42:31,0.00,,,TPT-251103-85OCB3L6-01,0.00,0.00,0.00,paid,confirmed,TKT-251030-85OCB3L6
019a440b-22a8-71cf-b1bb-4e948bc846c4,555,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-02 10:09:31,2025-11-02 10:09:31,2995.00,cs_K7tQ7hXUqRuh51qpLCwNWEe9,,TKT-251102-Y3MPEA7Z,2995.00,0.00,0.00,paid,confirmed,
019a41f0-c8c1-735a-8417-02c822239f60,552,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-02 00:21:30,2025-11-02 00:21:30,2395.00,7FF76187H0259814X,,TKT-251102-74IUB8JG,2395.00,0.00,0.00,paid,confirmed,
019a3e77-753a-70af-afd1-1e2ca25cc10d,550,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-01 08:10:07,2025-11-01 08:10:07,2395.00,cs_yWvH4wSrqYsNcGkoKS8Qmiq7,,TKT-251101-F6WI1XPL,2395.00,0.00,0.00,paid,confirmed,
019a3d00-b2c6-7391-920f-cd352f206ff3,549,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-11-01 01:20:47,2025-11-01 01:20:47,2395.00,7S089043H7904050E,,TKT-251101-C9MQG8PZ,2395.00,0.00,0.00,paid,confirmed,
019a3b05-6af6-711c-bde2-1cbb8635758d,545,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-10-31 16:06:42,2025-10-31 16:06:42,1995.00,cs_TS61m6XzLb5QSV6kFMvcfD3L,,TKT-251031-2H6W9K3P,1995.00,0.00,0.00,paid,confirmed,
019a3b05-6817-70ec-bf58-1aa315d9ff46,545,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-10-31 16:06:41,2025-10-31 16:06:41,1995.00,cs_TS61m6XzLb5QSV6kFMvcfD3L,,TKT-251031-HT4Y9BDK,1995.00,0.00,0.00,paid,confirmed,
019a3b00-5d95-7036-b10b-f431c5573992,541,0199772d-bbcc-728c-8b81-ffee7c4040a0,2025-10-31 16:01:11,2025-10-31 16:01:11,4995.00,cs_geSEjo5jdSgvZtzNFJzbLrt6,,TKT-251031-6NJA59QY,4995.00,0.00,0.00,paid,confirmed,
