uuid,name,price,description,event_id,ticket_code,is_bundle,is_manually_disabled,includes_voucher,voucher_type,display_order,max_tickets,event_uuid
0197aba3-3828-7015-8bdc-287bffc5c9d5,Online Rate,599,,0197aba3-37c5-7005-ac47-44f784f2eeb1,BG-ODML,FALSE,FALSE,FALSE,general,,,0197aba3-37c5-7005-ac47-44f784f2eeb1
0197aba3-3832-7160-8c4f-4b6eb6529c71,Online Rate,649,,0197aba3-37d1-703d-8060-f30e66e5042b,CM-ZXCT,FALSE,FALSE,FALSE,general,,,0197aba3-37d1-703d-8060-f30e66e5042b
0197aba3-383b-72a7-8aba-9716401097c1,Online Rate,799,,0197aba3-37dc-71f8-90a5-93d31d8737ff,DL-OAGV,FALSE,FALSE,FALSE,general,,,0197aba3-37dc-71f8-90a5-93d31d8737ff
0197aba3-3845-7257-8b21-282033f5a7f5,Online Rate,699,,0197aba3-37e7-7263-b5a1-a7f28522a9bb,FW-IKBY,FALSE,FALSE,FALSE,general,,,0197aba3-37e7-7263-b5a1-a7f28522a9bb
0197aba3-384e-72c7-aa27-8fa24b943313,Online Rate,1000,,0197aba3-37f9-7323-9864-e18a3886ffe8,OM-HMBE,FALSE,FALSE,FALSE,general,,,0197aba3-37f9-7323-9864-e18a3886ffe8
0197aba3-385a-72b6-adc0-053acf3d414e,Online Rate,799,,0197aba3-3802-72ca-811c-5683b54e0f6b,STS-NAIE,FALSE,FALSE,FALSE,general,,,0197aba3-3802-72ca-811c-5683b54e0f6b
0197aba3-3866-7206-a430-205ddc03031b,Online Rate,799,,0197aba3-3815-72a7-ac7f-71343b997112,TOI-YUCM,FALSE,FALSE,FALSE,general,,,0197aba3-3815-72a7-ac7f-71343b997112
0197aba3-3870-7181-893a-12131e9f33fa,Online Rate,699,,0197aba3-380b-736d-a66d-21dd6dba3b0c,TW-WYPR,FALSE,FALSE,FALSE,general,,,0197aba3-380b-736d-a66d-21dd6dba3b0c
0197aba3-387a-737a-b48f-5d7c3bc32f81,Bronze,1,,0197aba3-37ba-73d4-931a-f03f0059f076,BBB-XTMH,FALSE,FALSE,FALSE,general,,,0197aba3-37ba-73d4-931a-f03f0059f076
0197aba3-3880-7246-b90f-594ad217a2d6,Silver,2,,0197aba3-37ba-73d4-931a-f03f0059f076,BBB-KGZY,FALSE,FALSE,FALSE,general,,,0197aba3-37ba-73d4-931a-f03f0059f076
0197aba3-3889-722a-b459-50d4ad622d5b,Gold,3,,0197aba3-37ba-73d4-931a-f03f0059f076,BBB-SDJA,FALSE,FALSE,FALSE,general,,,0197aba3-37ba-73d4-931a-f03f0059f076
0197aba3-3891-7031-88e2-7f44b24a2939,VIP,4,,0197aba3-37ba-73d4-931a-f03f0059f076,BBB-HNSD,FALSE,FALSE,FALSE,general,,,0197aba3-37ba-73d4-931a-f03f0059f076
0197aba3-3898-7040-8358-676e00ef42ad,SVIP,5,,0197aba3-37ba-73d4-931a-f03f0059f076,BBB-APMI,FALSE,FALSE,FALSE,general,,,0197aba3-37ba-73d4-931a-f03f0059f076
0197aba3-38ad-73d3-bff5-8a2cb4f986f8,1 Day Pass,2000,,0197aba3-37a6-71d5-b0ef-bcd95a21df30,IS-1DAY-MLFJ,FALSE,FALSE,FALSE,general,,,0197aba3-37a6-71d5-b0ef-bcd95a21df30
0197aba3-38b4-70d4-b72c-85b536178a30,3 Days Pass,3500,,0197aba3-37a6-71d5-b0ef-bcd95a21df30,IS-3DAY-WVER,FALSE,FALSE,FALSE,general,,,0197aba3-37a6-71d5-b0ef-bcd95a21df30
0197aba3-38cf-707a-9139-acaef04d3a54,Individual Pass,0,Free individual pass for the induction ceremony,0197aba3-38c1-73b6-a9be-efcda5da4ac9,JCI-IND-BQSE,FALSE,FALSE,FALSE,general,,,0197aba3-38c1-73b6-a9be-efcda5da4ac9
aab9a048-d6aa-478c-a9fd-935835663157,SVIP,16290,Super VIP front orchestra seats (Rows A-M),01981362-2a91-7203-b576-93ec37f54a88,,FALSE,TRUE,FALSE,,1,,01981362-2a91-7203-b576-93ec37f54a88
0197aba3-38ec-7291-a0c3-960f41904b19,TICKET,500,,0197aba3-38e5-7305-9b90-8741045f9fcb,GRAND-TYJO,FALSE,FALSE,FALSE,general,,,0197aba3-38e5-7305-9b90-8741045f9fcb
