code,available_access
dashboard,r
analytics,r
users,rwudx
admin-users,rwudx
roles,rwud
permissions,rwud
events,rwudei
fun,rwudei
event-sections,rwud
event-tickets,rwudx
event-scanner,rw
transactions,rwudx
schedules,rwudx
schedule-times,rwudx
tickets,rwudxeia
categories,rwud
venues,rwud
venue-listings,rwudx
reports,r
analytics,r
settings,rwud
notifications,rwud
payments,rwud
commissions,ru
payment-methods,ru
organizations,rwudx
organizers,rwudx
uploads,rwud
promo-codes,rwudx
cms,rwudx
finance,rx
affiliate-partners,ru
affiliate-events,ru
affiliate-funs,ru
affiliate-payouts,ru
profile,r
activity-compliances,rwud
markups,ru
