col,row,color,category,order_start,status
1-7,A,bronze,bronze,1,active
71-77,A,bronze,bronze,71,active
1-7,B,bronze,bronze,1,active
73-79,B,bronze,bronze,73,active
1-7,C,bronze,bronze,1,active
75-81,C,bronze,bronze,75,active
1-6,D,bronze,bronze,1,active
76-81,D,bronze,bronze,76,active
1-4,E,bronze,bronze,1,active
80-83,E,bronze,bronze,80,active
1-4,F,bronze,bronze,1,active
80-83,F,bronze,bronze,80,active
1-4,G,bronze,bronze,1,active
79-82,G,bronze,bronze,79,active
1-4,H,bronze,bronze,1,active
79-82,H,bronze,bronze,79,active
1-4,I,bronze,bronze,1,active
80-83,I,bronze,bronze,80,active
1-16,U,bronze,bronze,1,active
69-84,U,bronze,bronze,79,active
