col,row,color,category,order_start,status
8-11,A,silver,silver,8,active
67-70,A,silver,silver,67,active
8-11,B,silver,silver,8,active
69-72,B,silver,silver,69,active
8-11,C,silver,silver,8,active
71-74,C,silver,silver,71,active
7-10,D,silver,silver,7,active
72-75,D,silver,silver,72,active
5-10,E,silver,silver,5,active
74-79,E,silver,silver,74,active
5-10,F,silver,silver,5,active
74-79,F,silver,silver,74,active
5-9,G,silver,silver,5,active
74-78,G,silver,silver,74,active
5-11,H,silver,silver,5,active
72-78,H,silver,silver,72,active
5-12,I,silver,silver,5,active
72-79,I,silver,silver,72,active
1-12,J,silver,silver,1,active
72-83,J,silver,silver,72,active
1-11,K,silver,silver,1,active
72-82,K,silver,silver,72,active
1-12,L,silver,silver,1,active
71-82,L,silver,silver,71,active
1-15,M,silver,silver,1,active
67-81,M,silver,silver,67,active
1-15,N,silver,silver,1,active
68-82,N,silver,silver,68,active
1-15,O,silver,silver,1,active
68-82,O,silver,silver,68,active
1-15,P,silver,silver,1,active
70-84,P,silver,silver,70,active
1-14,Q,silver,silver,1,active
69-83,Q,silver,silver,69,active
1-26,R,silver,silver,1,active
58-83,R,silver,silver,58,active
1-26,S,silver,silver,1,active
58-83,S,silver,silver,58,active
1-35,T,silver,silver,1,active
36-70,T,silver,silver,47,active
17-42,U,silver,silver,17,active
43-68,U,silver,silver,54,active
