col,row,color,category,order_start,status
12-18,A,red,vip,12,active
60-66,A,red,vip,60,active
12-19,B,red,vip,12,active
61-68,B,red,vip,61,active
12-20,C,red,vip,12,active
62-70,C,red,vip,62,active
11-20,D,red,vip,11,active
62-71,D,red,vip,62,active
11-20,E,red,vip,11,active
64-73,E,red,vip,64,active
11-20,F,red,vip,11,active
64-73,F,red,vip,64,active
10-19,G,red,vip,10,active
64-73,G,red,vip,64,active
12-29,H,red,vip,12,active
54-71,H,red,vip,54,active
13-29,I,red,vip,13,active
55-71,I,red,vip,55,active
13-71,J,red,vip,13,active
12-71,K,red,vip,12,active
13-70,L,red,vip,13,active
