col,row,color,category,order_start,status
1-7,A,bronze,bronze,1,active
8-11,A,silver,silver,8,active
12-18,A,red,vip,12,active
19-59,A,green,svip,19,active
60-66,A,red,vip,60,active
67-70,A,silver,silver,67,active
71-77,A,bronze,bronze,71,active
1-7,B,bronze,bronze,1,active
8-11,B,silver,silver,8,active
12-19,B,red,vip,12,active
20-60,B,green,svip,20,active
61-68,B,red,vip,61,active
69-72,B,silver,silver,69,active
73-79,B,bronze,bronze,73,active
1-7,C,bronze,bronze,1,active
8-11,C,silver,silver,8,active
12-20,C,red,vip,12,active
21-61,C,green,svip,21,active
62-70,C,red,vip,62,active
71-74,C,silver,silver,71,active
75-81,C,bronze,bronze,75,active
1-6,D,bronze,bronze,1,active
7-10,D,silver,silver,7,active
11-20,D,red,vip,11,active
21-61,D,green,svip,21,active
62-71,D,red,vip,62,active
72-75,D,silver,silver,72,active
76-81,D,bronze,bronze,76,active
1-4,E,bronze,bronze,1,active
5-10,E,silver,silver,5,active
11-20,E,red,vip,11,active
21-63,E,green,svip,21,active
64-73,E,red,vip,64,active
74-79,E,silver,silver,74,active
80-83,E,bronze,bronze,80,active
1-4,F,bronze,bronze,1,active
5-10,F,silver,silver,5,active
11-20,F,red,vip,11,active
21-63,F,green,svip,21,active
64-73,F,red,vip,64,active
74-79,F,silver,silver,74,active
80-83,F,bronze,bronze,80,active
1-4,G,bronze,bronze,1,active
5-9,G,silver,silver,5,active
10-19,G,red,vip,10,active
20-63,G,green,svip,20,active
64-73,G,red,vip,64,active
74-78,G,silver,silver,74,active
79-82,G,bronze,bronze,79,active
1-4,H,bronze,bronze,1,active
5-11,H,silver,silver,5,active
12-29,H,red,vip,12,active
30-53,H,green,svip,30,active
54-71,H,red,vip,54,active
72-78,H,silver,silver,72,active
79-82,H,bronze,bronze,79,active
1-4,I,bronze,bronze,1,active
5-12,I,silver,silver,5,active
13-29,I,red,vip,13,active
30-54,I,green,svip,30,active
55-71,I,red,vip,55,active
72-79,I,silver,silver,72,active
80-83,I,bronze,bronze,80,active
1-12,J,silver,silver,1,active
13-71,J,red,vip,13,active
72-83,J,silver,silver,72,active
1-11,K,silver,silver,1,active
12-71,K,red,vip,12,active
72-82,K,silver,silver,72,active
1-12,L,silver,silver,1,active
13-70,L,red,vip,13,active
71-82,L,silver,silver,71,active
1-15,M,silver,silver,1,active
16-66,M,gold,gold,16,active
67-81,M,silver,silver,67,active
1-15,N,silver,silver,1,active
16-67,N,gold,gold,16,active
68-82,N,silver,silver,68,active
1-15,O,silver,silver,1,active
16-67,O,gold,gold,16,active
68-82,O,silver,silver,68,active
1-15,P,silver,silver,1,active
16-69,P,gold,gold,16,active
70-84,P,silver,silver,70,active
1-14,Q,silver,silver,1,active
15-68,Q,gold,gold,15,active
69-83,Q,silver,silver,69,active
1-26,R,silver,silver,1,active
27-57,R,gold,gold,27,active
58-83,R,silver,silver,58,active
1-26,S,silver,silver,1,active
27-57,S,gold,gold,27,active
58-83,S,silver,silver,58,active
1-35,T,silver,silver,1,active
36-47,T,black,technical booth,36,inactive
36-70,T,silver,silver,47,active
1-16,U,bronze,bronze,1,active
17-42,U,silver,silver,17,active
43-53,U,black,technical booth,43,inactive
43-68,U,silver,silver,54,active
69-84,U,bronze,bronze,79,active
