col,row,color,category,order_start,status
6-13,A,gold,gold,6,active
65-72,A,gold,gold,65,active
6-14,B,gold,gold,6,active
66-74,B,gold,gold,66,active
6-15,C,gold,gold,6,active
67-76,C,gold,gold,67,active
6-15,D,gold,gold,6,active
67-76,D,gold,gold,67,active
6-10,E,gold,gold,6,active
73-77,E,gold,gold,73,active
6-10,F,gold,gold,6,active
73-77,F,gold,gold,73,active
5-10,G,gold,gold,5,active
73-78,G,gold,gold,73,active
5-10,H,gold,gold,5,active
73-78,H,gold,gold,73,active
5-10,I,gold,gold,5,active
74-79,I,gold,gold,74,active
5-9,J,gold,gold,5,active
75-79,J,gold,gold,75,active
5-9,K,gold,gold,5,active
74-78,K,gold,gold,74,active
5-9,L,gold,gold,5,active
74-78,L,gold,gold,74,active
13-27,M,gold,gold,13,active
55-70,M,gold,gold,55,active
13-27,N,gold,gold,13,active
56-70,N,gold,gold,56,active
13-27,O,gold,gold,13,active
56-70,O,gold,gold,56,active
13-70,P,gold,gold,13,active
27-57,Q,gold,gold,27,active
27-57,R,gold,gold,27,active
27-57,S,gold,gold,27,active
