col,row,color,category,order_start,status
1-5,E,silver,silver,1,active
78-83,E,silver,silver,78,active
1-5,F,silver,silver,1,active
78-83,F,silver,silver,78,active
1-4,G,silver,silver,1,active
79-82,G,silver,silver,79,active
1-4,H,silver,silver,1,active
79-82,H,silver,silver,79,active
1-4,I,silver,silver,1,active
80-83,I,silver,silver,80,active
1-4,J,silver,silver,1,active
80-83,J,silver,silver,80,active
1-4,K,silver,silver,1,active
79-82,K,silver,silver,79,active
1-4,L,silver,silver,1,active
79-82,L,silver,silver,79,active
1-12,M,silver,silver,1,active
71-81,M,silver,silver,71,active
1-12,N,silver,silver,1,active
71-82,N,silver,silver,71,active
1-12,O,silver,silver,1,active
71-82,O,silver,silver,71,active
1-12,P,silver,silver,1,active
71-84,P,silver,silver,71,active
1-26,Q,silver,silver,1,active
58-83,Q,silver,silver,58,active
1-26,R,silver,silver,1,active
58-83,R,silver,silver,58,active
1-26,S,silver,silver,1,active
58-83,S,silver,silver,58,active
1-35,T,silver,silver,1,active
36-70,T,silver,silver,47,active
13-42,U,silver,silver,13,active
43-72,U,silver,silver,54,active
