col,row,color,category,order_start,status
20-28,A,green,svip,20,active
50-58,A,green,svip,50,active
21-29,B,green,svip,21,active
51-59,B,green,svip,51,active
22-30,C,green,svip,22,active
52-60,C,green,svip,52,active
22-30,D,green,svip,22,active
52-60,D,green,svip,52,active
23-30,E,green,svip,23,active
54-61,E,green,svip,54,active
23-30,F,green,svip,23,active
54-61,F,green,svip,54,active
22-29,G,green,svip,22,active
54-61,G,green,svip,54,active
22-61,H,green,svip,22,active
22-62,I,green,svip,22,active
22-62,J,green,svip,22,active
21-62,K,green,svip,21,active
21-62,L,green,svip,21,active
