col,row,color,category,order_start,status
14-19,A,red,vip,14,active
59-64,A,red,vip,59,active
15-20,B,red,vip,15,active
60-65,B,red,vip,60,active
16-21,C,red,vip,16,active
61-66,C,red,vip,61,active
16-21,D,red,vip,16,active
61-66,D,red,vip,61,active
11-22,E,red,vip,11,active
62-72,E,red,vip,62,active
11-22,F,red,vip,11,active
62-72,F,red,vip,62,active
11-21,G,red,vip,11,active
62-72,G,red,vip,62,active
11-21,H,red,vip,11,active
62-72,H,red,vip,62,active
11-21,I,red,vip,11,active
63-73,I,red,vip,63,active
10-21,J,red,vip,10,active
63-74,J,red,vip,63,active
10-20,K,red,vip,10,active
63-73,K,red,vip,63,active
10-20,L,red,vip,10,active
63-73,L,red,vip,63,active
28-54,M,red,vip,28,active
28-55,N,red,vip,28,active
28-55,O,red,vip,28,active
