col,row,color,category,order_start,status
1-5,A,bronze,bronze,1,active
6-13,A,gold,gold,6,active
14-19,A,red,vip,14,active
20-28,A,green,svip,20,active
29-49,A,purple,platinum,29,active
50-58,A,green,svip,50,active
59-64,A,red,vip,59,active
65-72,A,gold,gold,65,active
73-77,A,bronze,bronze,73,active
1-5,B,bronze,bronze,1,active
6-14,B,gold,gold,6,active
15-20,B,red,vip,15,active
21-29,B,green,svip,21,active
30-50,B,purple,platinum,30,active
51-59,B,green,svip,51,active
60-65,B,red,vip,60,active
66-74,B,gold,gold,66,active
75-79,B,bronze,bronze,75,active
1-5,C,bronze,bronze,1,active
6-15,C,gold,gold,6,active
16-21,C,red,vip,16,active
22-30,C,green,svip,22,active
31-51,C,purple,platinum,31,active
52-60,C,green,svip,52,active
61-66,C,red,vip,61,active
67-76,C,gold,gold,67,active
77-81,C,bronze,bronze,77,active
1-5,D,bronze,bronze,1,active
6-15,D,gold,gold,6,active
16-21,D,red,vip,16,active
22-30,D,green,svip,22,active
31-51,D,purple,platinum,31,active
52-60,D,green,svip,52,active
61-66,D,red,vip,61,active
67-76,D,gold,gold,67,active
77-81,D,bronze,bronze,77,active
1-5,E,silver,silver,1,active
6-10,E,gold,gold,6,active
11-22,E,red,vip,11,active
23-30,E,green,svip,23,active
31-53,E,purple,platinum,31,active
54-61,E,green,svip,54,active
62-72,E,red,vip,62,active
73-77,E,gold,gold,73,active
78-83,E,silver,silver,78,active
1-5,F,silver,silver,1,active
6-10,F,gold,gold,6,active
11-22,F,red,vip,11,active
23-30,F,green,svip,23,active
31-53,F,purple,platinum,31,active
54-61,F,green,svip,54,active
62-72,F,red,vip,62,active
73-77,F,gold,gold,73,active
78-83,F,silver,silver,78,active
1-4,G,silver,silver,1,active
5-10,G,gold,gold,5,active
11-21,G,red,vip,11,active
22-29,G,green,svip,22,active
30-53,G,purple,platinum,30,active
54-61,G,green,svip,54,active
62-72,G,red,vip,62,active
73-78,G,gold,gold,73,active
79-82,G,silver,silver,79,active
1-4,H,silver,silver,1,active
5-10,H,gold,gold,5,active
11-21,H,red,vip,11,active
22-61,H,green,svip,22,active
62-72,H,red,vip,62,active
73-78,H,gold,gold,73,active
79-82,H,silver,silver,79,active
1-4,I,silver,silver,1,active
5-10,I,gold,gold,5,active
11-21,I,red,vip,11,active
22-62,I,green,svip,22,active
63-73,I,red,vip,63,active
74-79,I,gold,gold,74,active
80-83,I,silver,silver,80,active
1-4,J,silver,silver,1,active
5-9,J,gold,gold,5,active
10-21,J,red,vip,10,active
22-62,J,green,svip,22,active
63-74,J,red,vip,63,active
75-79,J,gold,gold,75,active
80-83,J,silver,silver,80,active
1-4,K,silver,silver,1,active
5-9,K,gold,gold,5,active
10-20,K,red,vip,10,active
21-62,K,green,svip,21,active
63-73,K,red,vip,63,active
74-78,K,gold,gold,74,active
79-82,K,silver,silver,79,active
1-4,L,silver,silver,1,active
5-9,L,gold,gold,5,active
10-20,L,red,vip,10,active
21-62,L,green,svip,21,active
63-73,L,red,vip,63,active
74-78,L,gold,gold,74,active
79-82,L,silver,silver,79,active
1-12,M,silver,silver,1,active
13-27,M,gold,gold,13,active
28-54,M,red,vip,28,active
55-70,M,gold,gold,55,active
71-81,M,silver,silver,71,active
1-12,N,silver,silver,1,active
13-27,N,gold,gold,13,active
28-55,N,red,vip,28,active
56-70,N,gold,gold,56,active
71-82,N,silver,silver,71,active
1-12,O,silver,silver,1,active
13-27,O,gold,gold,13,active
28-55,O,red,vip,28,active
56-70,O,gold,gold,56,active
71-82,O,silver,silver,71,active
1-12,P,silver,silver,1,active
13-70,P,gold,gold,13,active
71-84,P,silver,silver,71,active
1-26,Q,silver,silver,1,active
27-57,Q,gold,gold,27,active
58-83,Q,silver,silver,58,active
1-26,R,silver,silver,1,active
27-57,R,gold,gold,27,active
58-83,R,silver,silver,58,active
1-26,S,silver,silver,1,active
27-57,S,gold,gold,27,active
58-83,S,silver,silver,58,active
1-35,T,silver,silver,1,active
36-47,T,black,technical booth,36,active
36-70,T,silver,silver,47,active
1-12,U,bronze,bronze,1,active
13-42,U,silver,silver,13,active
43-54,U,black,technical booth,43,active
43-72,U,silver,silver,54,active
73-84,U,bronze,bronze,84,active
